"ID","Esame","Corso","Code"
"209","Laboratorio di progettazione virtuale","06223","00016"
"210","Laboratorio di progettazione virtuale","06226","00015"
"211","Laboratorio di programmazione","06127","00108"
"212","Lean operations management","06226","00039"
"213","Lean operations management","06223","00032"
"214","Legislazione delle opere pubbliche e dell'edilizia, diritto urbanistico e sociologia","06601","00034"
"215","Logistica distributiva","06226","00023"
"216","Macchine","06122","00012"
"217","Macchine e impianti elettrici","06124","00021"
"218","Macchine e sistemi energetici","06123","00018"
"219","Machine learning and big data analytics","06227","00052"
"220","Marketing e sviluppo prodotto","06226","00021"
"221","Matematica I","06125","00001"
"222","Matematica I","06121","00001"
"223","Matematica I","06122","00001"
"224","Matematica I","06124","00001"
"225","Matematica I","06123","00001"
"226","Matematica I","06126","00001"
"227","Matematica II","06125","00002"
"228","Matematica II","06121","00002"
"229","Matematica II","06122","00005"
"230","Matematica II","06124","00002"
"231","Matematica II","06126","00002"
"232","Matematica II","06123","00002"
"233","Matematica III","06124","00003"
"234","Materiali strutturali innovativi e sperimentazione","06221","00022"
"235","Materiali strutturali innovativi e sperimentazione","06601","00051"
"236","Mathematical modeling of processes in food industries - modellistica matematica dei processi dell'industria alimentare","06228","00009"
"237","Meccanica applicata","06126","00031"
"238","Meccanica applicata alle macchine","06123","00015"
"240","Meccanica delle terre","06121","00015"
"241","Meccanica delle terre","06125","00016"
"242","Meccanica razionale","06121","00010"
"243","Meccanica razionale","06601","00018"
"244","Meccanica razionale","06125","00007"
"245","Meccanica razionale e scienza delle costruzioni","06123","00049"
"246","Meccatronica","06123","00024"
"247","Mechanical vibrations","06223","00040"
"248","Microbiologia industriale alimentare","06122","00022"
"249","Microonde","06124","00030"
"250","Misure basate su visione","06224","00013"
"251","Misure elettroniche","06124","00009"
"252","Misure per l'automazione","06124","00039"
"253","Mobile programming","06227","00038"
"254","Modeling and control for process industries - modellistica matematica e controllo per l'industria di processo","06228","00028"
"255","Modellazione di sistemi produttivi e logistici","06226","00024"
"256","Modellazione di sistemi produttivi e logistici","06223","00034"
"257","Modellistica dei sistemi energetici e propulsivi","06223","00005"
"258","Modellistica matematica e controllo per l'industria di processo","06222","00024"
"259","Monitoraggio e controllo dell'inquinamento industriale","06125","00033"
"260","Nanocompositi polimerici: proprietà e applicazioni","06222","00027"
"261","Nanoelettronica e sensori","06224","00039"
"262","Operazioni unitarie degli impianti alimentari","06122","00035"
"263","Opere di sostegno","06221","00013"
"264","Opere di sostegno","06225","00018"
"265","Opere di sostegno","06601","00043"
"266","Organizzazione del cantiere","06601","00033"
"267","Organizzazione del cantiere","06121","00041"
"268","Organizzazione del cantiere","06125","00047"
"269","Ottica","06224","00029"
"270","Particle technology - tecnologia delle particelle","06228","00027"
"271","Physics for biomedical applications","06227","00055"
"272","Pianificazione dei trasporti","06121","00035"
"273","Pianificazione dei trasporti","06125","00038"
"274","Principi di ingegneria chimica","06122","00011"
"275","Principi di ingegneria chimica ambientale","06125","00011"
"276","Process instrumentation and control/strumentazione e controllo dei processi chimici","06122","00040"
